,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
148,Syria,57463,0,3164,0.0,54299,0,0,0,2967,163,146269,7553,19364809,Asia,2023-02-22
149,Burundi,53609,0,38,0.0,53569,0,2,0,4246,3,345742,27386,12624840,Africa,2023-02-22
150,Seychelles,50665,0,172,0.0,50440,0,53,0,509575,1730,0,0,99426,Africa,2023-02-22
151,Gabon,48981,0,306,0.0,48674,0,1,0,21008,131,1621909,695641,2331533,Africa,2023-02-22
152,Andorra,47866,0,165,0.0,47563,0,138,14,617921,2130,249838,3225256,77463,Europe,2023-02-22
153,Papua New Guinea,46792,0,670,0.0,43982,0,2140,7,5036,72,249149,26813,9292169,Australia/Oceania,2023-02-22
154,Curaçao,45986,0,295,0.0,44720,0,971,3,277812,1782,496693,3000640,165529,North America,2023-02-22
155,Aruba,44026,0,236,0.0,42438,0,1352,2,409129,2193,177885,1653068,107609,North America,2023-02-22
156,Tanzania,42823,48,846,0.0,0,0,0,7,677,13,0,0,63298550,Africa,2023-02-22
157,Mayotte,42004,0,188,0.0,0,0,0,0,146734,657,176919,618038,286259,Africa,2023-02-22
158,Mauritius,41698,0,1043,0.0,39991,0,664,0,32711,818,358675,281374,1274727,Africa,2023-02-22
159,Togo,39367,0,290,0.0,39072,0,5,0,4535,33,807880,93065,8680837,Africa,2023-02-22
160,Guinea,38267,0,467,0.0,37757,0,43,8,2760,34,660107,47607,13865691,Africa,2023-02-22
161,Isle of Man,38008,0,116,0.0,0,0,0,0,443335,1353,150753,1758422,85732,Europe,2023-02-22
162,Bahamas,37491,0,833,0.0,36366,0,292,1,93607,2080,257839,643767,400516,North America,2023-02-22
163,Lesotho,34790,0,723,0.0,25980,0,8087,0,15990,332,431221,198199,2175699,Africa,2023-02-22
164,Faeroe Islands,34658,0,28,0.0,0,0,0,5,703959,569,778000,15802409,49233,Europe,2023-02-22
165,Haiti,34143,0,860,0.0,33044,0,239,0,2923,74,132422,11337,11680283,North America,2023-02-22
166,Mali,32963,17,743,0.0,32032,10,188,0,1535,35,794233,36986,21473764,Africa,2023-02-22
167,Cayman Islands,31472,0,37,0.0,8553,0,22882,1,467797,550,222773,3311280,67277,North America,2023-02-22
168,Saint Lucia,29882,0,409,0.0,29095,0,378,0,161426,2209,210983,1139752,185113,North America,2023-02-22
